"Incident, Date","Total, Number, of, Dead, and, Missing","Number, of, Survivors","Number, of, Females","Number, of, Males","Number, of, Children","Region, of, Origin","Cause, of, Death","Migration, route","Location, of, death",Coordinates
2016-02-17,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Las'anod,, Somalia","47.3474798, 8.476128"
2016-02-17,1,,,,,"Eastern, Africa, (P)",Violence,,"Gondor,, Ethiopia","37.4389385, 12.601127"
2016-02-17,1,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Jigjiga,, Ethiopia","42.7773712, 9.3521044"
2016-02-17,3,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Sabha,, Libya","14.3890835, 27.0295078"
2016-02-17,2,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Qalabat,, Sudan","35.3431691, 13.9731737"
2016-02-17,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Tarhunah,, Libya","13.6064364, 32.4344591"
2016-02-17,3,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Qalabat,, Sudan","35.3431691, 13.9731737"
2016-02-17,6,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Ajdabiya,, Libya","19.0741052, 30.2723743"
2016-02-17,5,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-17,1,2,,,1,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Eastern, Mediterranean","arrived, at, Agia, Ermioni,, Chios,, Greece","25.8805817, 38.3424941"
2016-02-17,1,12,,,,Caribbean,Drowning,"Cuba, to, US","between, Cuba, and, Man, Key,, Key, West,, Florida, USA","-82.297972, 23.8669878"
2016-02-17,1,,1,,1,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Qamishli,, Al, Hasaka,, Syria","40.708528, 36.5044741"
2016-02-17,1,,1,,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Qamishli,, Al, Hasaka,, Syria","40.708528, 36.5044741"
2016-02-17,1,,1,,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Qamishli,, Al, Hasaka,, Syria","40.708528, 36.5044741"
2016-02-17,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Qamishli,, Al, Hasaka,, Syria","40.708528, 36.5044741"
2016-02-18,4,,,4,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport","US-Mexico, border, crossing","Highway, 59, in, Webb, County,, Texas","-99.6987461, 27.7155889"
2016-02-18,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","In, Sahara, Desert,, Sudan","25.9062885, 19.428332"
2016-02-18,1,,,,,"Eastern, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Karora,, Eritrea","38.350793, 17.7030092"
2016-02-18,2,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Vwawa,, Tanzania","32.915691, -9.102866"
2016-02-18,3,,,,,"Eastern, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Kessela,, Sudan","36.3787571, 15.4558144"
2016-02-18,6,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Ajdabiya,, Libya","19.0741052, 30.2723743"
2016-02-18,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Shandi,, Sudan","33.4297655, 16.6797294"
2016-02-18,25,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-18,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Qadarif,, Sudan","35.3417723, 14.0316722"
2016-02-18,3,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kufrah,, Libya","19.7242161, 23.2488413"
2016-02-18,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kessela,, Sudan","36.3787571, 15.4558144"
2016-02-18,3,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Sabha,, Libya","14.3890835, 27.0295078"
2016-02-18,6,,,,,"Eastern, Africa, (P)",Violence,,"Bahardar,, Ethiopia","37.3103831, 11.5806779"
2016-02-18,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-18,2,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Madani,, Sudan","33.4611726, 14.3830752"
2016-02-18,8,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-19,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Melawi,, Egypt","30.6654423, 27.7651701"
2016-02-19,2,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Khartoum,, Sudan","32.5025561, 15.5015341"
2016-02-19,2,,,,,"Northern, Africa",Drowning,"Central, Mediterranean","off, the, coast, of, Siculiana, in, Western, Sicily","13.3228249, 37.3088392"
2016-02-19,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Train, tracks, near, Coatzacoalcos,, Veracruz,, Mexico","-95.8969461, 18.2681566"
2016-02-19,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Rio, Grande, under, the, International, Miguel, Aleman-Roma, Bridge,, Starr, County,, Texas","-98.8662899, 26.5475045"
2016-02-20,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Aswan,, Egypt","31.5204557, 23.285107"
2016-02-21,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Sahara, Desert, near, Aswan,, Egypt","33.026759, 24.138269"
2016-02-21,13,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-21,3,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Qadarif,, Sudan","35.3417723, 14.0316722"
2016-02-21,3,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-21,6,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-21,1,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Khartoum,, Sudan","32.5025561, 15.5015341"
2016-02-21,10,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Qadarif,, Sudan","35.3417723, 14.0316722"
2016-02-21,2,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-21,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Qalabat,, Sudan","35.3431691, 13.9731737"
2016-02-21,30,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Umm, Al, Aranib,, Libya","14.7267866, 26.1395652"
2016-02-21,5,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Khartoum,, Sudan","32.5025561, 15.5015341"
2016-02-21,3,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-21,3,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-21,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Shandi,, Sudan","33.4297655, 16.6797294"
2016-02-21,28,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-21,1,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Qalabat,, Sudan","35.3431691, 13.9731737"
2016-02-21,6,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Sabha,, Libya","14.3890835, 27.0295078"
2016-02-21,3,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Qalabat,, Sudan","35.3431691, 13.9731737"
2016-02-21,1,,,,,"Eastern, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Kurfrah,, Libya","19.7242161, 23.2488413"
2016-02-21,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","On, Mexican, side, of, US-Mexico, border, near, San, Ysidro,, California,, Mexico","-117.0413138, 32.5349303"
2016-02-23,5,403,3,2,,"Sub-Saharan, Africa, (P)","Accidental, death","Central, Mediterranean","Unspecified, location, between, Tunisia, and, Sicily","10.2858042, 37.7202423"
2016-02-23,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.1606, 32.63308"
2016-02-25,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Rio, Bravo,, Tamaulipas,, Mexico, (near, Juez, de, Paz,, Rio, Grande,, Texas)","-98.7240038, 26.3277865"
2016-02-25,1,,,,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","River, bank,, Rio, Grande, City,, Starr, County,, Texas,, USA","-98.83111927, 26.364874"
2016-02-27,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Qamishli,, Al, Hasaka,, Syria","40.708528, 36.5044741"
2016-02-28,1,,1,,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, northern, Deir, Ezzor, province","39.4889524, 36.7188825"
2016-02-28,20,,,,,"Eastern, Africa, (P)",Drowning,"Horn, of, Africa, to, Yemen, crossing","Straits, of, Yemen","46.4207584, 12.4339758"
2016-02-28,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Rio, Grande, near, Reynosa, Diaz,, Reynosa,, Tamaulipas,, Mexico","-99.4332699, 24.215586"
2016-02-28,1,,,,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Unspecified, location,, Niger","12.30244, 21.48978"
2016-02-28,2,,,,,Unknown,"Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Sahara, Desert,, between, Guerrara,, Algeria, and, Subratha,, Libya","7.711646513, 32.43524618"
2016-02-28,3,,,,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Bani, Walid,, Libya","14.053676, 31.68546589"
2016-02-28,1,,,,,Unknown,Violence,,"Tripoli,, Libya","13.20232463, 32.86990958"
2016-03-01,4,,,,,"Eastern, Africa, (P)",Drowning,"Horn, of, Africa, to, Yemen, crossing","Straits, of, Yemen","46.4207584, 12.4339758"
2016-03-01,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.85818, 31.704"
2016-03-01,2,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","At, the, desert,, two, days, drive, from, khartoum,, Sudan","32.4374949, 15.3503337"
2016-03-02,1,,,1,,"Northern, Africa","Sickness, /, lack, of, access, to, adequate, healthcare","English, Channel, to, the, UK","Calais,, France","1.8339367, 50.9518803"
2016-03-02,1,,,1,1,"Western, /, Southern, Asia, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Eastern, Mediterranean","Mytilene,, Lesvos, ","26.5476933, 39.0971081"
2016-03-02,3,,,,,"Eastern, Africa",Drowning,,"M'Tsamboro,, Mayotte,, France","45.0189863, -12.8209326"
2016-03-03,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.95431, 32.20324"
2016-03-03,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.1373, 31.826717"
2016-03-04,20,,2,,,"Northern, Africa","Mixed, or, unknown","Western, Mediterranean","Near, Almería,, Spain","-2.4746262, 36.8415268"
2016-03-05,3,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Khartoum,, Sudan","32.5025561, 15.5015341"
2016-03-06,25,15,,,10,"Western, /, Southern, Asia, (P)",Drowning,"Eastern, Mediterranean","off, the, coast, of, Didim,, Aydin,, Turkey,, likely, en, route, to, Farmakonisi,, Greece","27.23726318, 37.34116394"
2016-03-06,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.10317, 32.38652"
2016-03-07,1,,,1,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.10296, 32.2651"
2016-03-07,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.069, 32.15192"
2016-03-07,2,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","In, the, Sahara, desert, of, Aswan,, Egypt","30.6654494, 23.459686"
2016-03-08,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Gedharif, (Al, Qadarif),, Sudan","35.3417723, 14.0316722"
2016-03-08,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Near, Bali, (Bale),, Ethiopia","39.7240219, 6.7349666"
2016-03-08,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Aswan,, Egypt","31.5204557, 23.285107"
2016-03-08,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","in, the, Rio, Grande, 1.5, miles, from, South, 15th, street,, Hidalgo, County,, Texas","-98.3833477, 26.376354"
2016-03-08,1,,,1,1,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, northern, Deir, Ezzor, province","39.4889524, 36.7188825"
2016-03-10,7,9,,,3,"Southern, Asia",Drowning,"Eastern, Mediterranean","off, the, coast, of, Ayvacik,, Canakkale, en, route, to, Lesvos,, Greece","26.3932461, 39.4902085"
2016-03-10,1,,,1,,"Latin, America, /, Caribbean, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Cantera, de, Villagrán, in, Tepeji, del, Río, de, Ocampo,, Hidalgo,, Mexico","-99.4300048, 19.8937479"
2016-03-11,1,,,1,1,"Northern, Africa","Vehicle, accident, /, death, linked, to, hazardous, transport",,"train, tracks, near, German-Austrian, border","13.432637, 48.457552"
2016-03-11,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Aleppo, province","36.623154, 36.681792"
2016-03-12,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Atbara,, Sudan","33.9762492, 17.6922271"
2016-03-12,1,,,,1,"Northern, Africa",Drowning,"Western, Mediterranean","Harbor, of, Melilla,, Spain","-2.9508781, 35.2862703"
2016-03-12,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, northern, Deir, Ezzor, province","39.4889524, 36.7188825"
2016-03-13,1,,,,1,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border,, likely, in, Aleppo, province","36.5744436, 36.423746"
2016-03-13,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Near, Apizaco, in, Tlaxcala,, Mexico","-98.4471102, 19.4167798"
2016-03-14,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Near, Garowe, (Garoowe),, Somalia","48.4713577, 8.4066579"
2016-03-14,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Unduraman,, Sudan","32.3006557, 15.6271309"
2016-03-14,1,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","In, the, Sahara, desert, near, to, Abu, Simbel,, Egypt","31.5512116, 22.3901546"
2016-03-14,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Chiapas,, Mexico","-93.2534811, 16.474502"
2016-03-14,3,23,1,2,,"Southern, Asia",Drowning,"Western, Balkans","Suva, Seka, River, near, Gevgelija,, near, Greek-Macedonian, border","22.5016282, 41.1347418"
2016-03-14,8,5,,,,"Southern, Asia",Drowning,"Eastern, Mediterranean","near, Kos,, Greece","27.2828523, 36.9107821"
2016-03-14,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Near, the, All, American, Canal,, Imperial, County,, Baja, California","-115.0616912, 32.7041479"
2016-03-15,1,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","At, the, desert, near, Berber,, Sudan","33.9751766, 18.0267284"
2016-03-16,1,,1,,1,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"On, Highway, 57, near, Los, Chorros,, Coahuila,, Mexico","-100.7909834, 25.3813561"
2016-03-16,3,750,,,,Unknown,"Mixed, or, unknown","Central, Mediterranean","Unspecified, location, off, of, the, coast, of, Libya, en, route, to, Italy","13.45345257, 34.57199818"
2016-03-17,4,187,,,,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Central, Mediterranean","near, the, coast, of, Sabantha,, 65km, west, of, Triopli","12.5179707, 32.8005302"
2016-03-17,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown",,"In, Berbera,, Somalia","44.9946415, 10.4325373"
2016-03-17,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Matama, ,, Ethiopia","36.1824054, 12.9944787"
2016-03-17,6,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Qadarif, (Al, Qadarif),, Sudan","35.3417723, 14.0316722"
2016-03-17,11,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kufrah,, Libya","19.7242161, 23.2488413"
2016-03-17,1,,,,,"Eastern, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Nyali, (Nyala),, Sudan","24.8744624, 12.0521564"
2016-03-17,20,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Kufrah,, Libya","19.7242161, 23.2488413"
2016-03-17,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Nyala,, Sudan","24.8744624, 12.0521564"
2016-03-17,5,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Sabha,, Libya","14.3890835, 27.0295078"
2016-03-17,1,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Khartoum,, Sudan","32.5025561, 15.5015341"
2016-03-17,3,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Kufrah,, Libya","19.7242161, 23.2488413"
2016-03-17,1,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Near, the, Southwest, border, with, Sudan, and, Eritrea","36.0702206, 14.8019406"
2016-03-17,2,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","In, the, Sahara, desert, near, Abusanbal, Abu, Simbel,, Egypt","31.5512116, 22.3901546"
2016-03-17,6,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","In, the, Sahara, desert, near, Aswan,, Egypt","30.6654494, 23.459686"
2016-03-17,9,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","In, the, Sahara, desert, near, to, Atbara,, Sudan","33.8055978, 17.7236685"
2016-03-18,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.665017, 32.206583"
2016-03-19,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Train, tracks, in, Ejido, Espinazo,, Mina,, Nuevo, Leon,, Mexico","-100.5386708, 26.0033668"
2016-03-19,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport","US-Mexico, border, crossing","Crossing, I-35, near, Austin,, Texas","-97.8398485, 30.3062589"
2016-03-19,9,18,,,,Caribbean,"Mixed, or, unknown",,"130, miles, west, of, Marco, Island,, off, southwest, Florida","-81.7170878, 25.9312075"
2016-03-19,51,,,,,Mixed,Drowning,"Central, Mediterranean","Near, the, port, of, Zawiya,, west, of, Tripoli,, Libya","13.1507228, 32.8843519"
2016-03-19,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"near, train, tracks, in, Ejido, Espinazo,, Mina,, Nuevo, Leon,, Mexico","-101.1128975, 26.2690307"
2016-03-19,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Train, tracks,, Guadalajara,, Jalisco,, Mexico","-104.4682014, 20.129511"
2016-03-19,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","At, the, Sudanese, Libyan, border,, Sudan","24.074248, 20.6706756"
2016-03-20,3,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Khartoum,, Sudan","32.5025561, 15.5015341"
2016-03-20,2,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Gedharif, (Al, Qadarif),, Sudan","35.3417723, 14.0316722"
2016-03-20,5,,,,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Sinai, desert,, Egypt","32.8993266, 30.6096738"
2016-03-20,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Desert, near, Aswan,, Egypt","30.6654494, 23.459686"
2016-03-20,2,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Qadarif, (Al, Qadarif),, Sudan","35.3417723, 14.0316722"
2016-03-20,21,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Kufrah,, Libya","19.7242161, 23.2488413"
2016-03-20,2,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Nyali, (Nyala),, Sudan","24.8744624, 12.0521564"
2016-03-20,3,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Sabha,, Libya","14.3890835, 27.0295078"
2016-03-20,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Nyala,, Sudan","24.8744624, 12.0521564"
2016-03-20,11,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kufrah,, Libya","19.7242161, 23.2488413"
2016-03-20,5,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Khartoum,, Sudan","32.5025561, 15.5015341"
2016-03-20,2,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Qalabat,, Sudan","35.3431691, 13.9731737"
2016-03-20,2,,,,,"Eastern, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Qadarif, (Al, Qadarif),, Sudan","35.3417723, 14.0316722"
2016-03-20,10,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Kufrah,, Libya","19.7242161, 23.2488413"
2016-03-20,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Ajdabiya,, Libya","19.0741052, 30.2723743"
2016-03-20,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Qalabat,, Sudan","35.3431691, 13.9731737"
2016-03-20,3,,,,,"Eastern, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Sabha,, Libya","14.3890835, 27.0295078"
2016-03-20,8,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kufrah,, Libya","19.7242161, 23.2488413"
2016-03-20,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"on, the, Manlio, Fabio, Altamirano, highway,, Soledad, de, Doblado,, Mexico","-96.3814844, 19.0562477"
2016-03-20,2,40,2,,2,"Western, /, Southern, Asia, (P)","Mixed, or, unknown","Eastern, Mediterranean","off, the, coast, of, Ro,, Greece","29.4950335, 36.1552778"
2016-03-20,2,,,2,,"Western, /, Southern, Asia, (P)","Mixed, or, unknown","Eastern, Mediterranean","Lesvos, Island,, Greece","26.51755964, 39.20970783"
2016-03-20,4,,,,,Unknown,"Mixed, or, unknown","Central, Mediterranean","boat, arrived, in, Lampedusa","12.6021153, 35.4976985"
2016-03-20,1,,1,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","near, Border, Patrol, Checkpoint, in, Sarita,, Kenedy, County,, Texas,, USA","-97.9181768, 26.9403821"
2016-03-20,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","in, Riviera,, Kleberg, County,, Texas","-97.8516369, 27.4214557"
